section_name,thread_title,post_ID,post_date,post_username,post_text,post_order,replier_post_ID,user_location,user_gender,user_occupation,user_messages_count,user_reaction_score,user_mygarage
BMW,"BMW X6 M (Spy pics, Info & Impressions)",post-357783,"Jan 10, 2009",teenage pervert,"Well cayenne turbo s is a much less powerful in sweden, in france it gives 550hp,According to autobild (see page 11 this thread) it should match these numbers.,Do anyone have any idea of a launch date ?",#166,post: 357778,NA,NA,NA,11,0,
BMW,Next generation BMW Z4 E89 - part II (first FEP pics incl. !!!),post-296882,"Apr 30, 2008",mapezzul,"Scott,,Will the soft top be a diesel only option. I seem to recall that early on in the thread....,Also with the DCT, will it have programs like the current one or not? Seems that BMW wants the Z to out perform others.... the additional programs may make that easier!,Very exciting to hear about the dampening system, that sounds very effective.,Looking forward to seeing this car!",#88,,NA,NA,NA,5,0,
BMW,WardsAuto - New BMW 335d May be Diesel’s Best Shot in U.S.,post-344951,"Nov 13, 2008",kwhiner,"Would be more than happy to have the 320D, if for no other reason than the lower entry price, unfortunately it's not at least at this point not being offered. Suspect another angle to this being that with the cost of certification the makers want to get their money back upfront, and are only offering models with higher margins.,kwhiner",#22,post: 342877,NA,NA,NA,1,0,
BMW,BMW considering U.S. production for 3er,post-326288,"Aug 29, 2008",dmlgc,Amazing as it sounds not only will the weak $ come to play in this but in the very near future the american work force will be cheaper.,#10,,USA,NA,NA,3,0,"BMW X6 50i, 330"
BMW,"BMW X1: CGIs, spy pics & info",post-333432,"Sep 28, 2008",bmw_afficionado,"Hello everybody!I am new on this forum and I am glad to see a well-established BMW discussions cafe here. Interesting info gathered over many pages.,To stick to the point, I have found a BMW Concept X1 teaser photo some period ago(before the teaser video came out), on a car forum on the internet. The image, as some users said, was leaked from BMW and it offers a glimpse of the upcoming Bavarian compact SUV. What do you think?",#269,,NA,NA,NA,2,3,
BMW,Motor Trend First Drive: 2009 BMW 750i,post-319052,"Jul 26, 2008",bimmerguy288,"Yeah, this Todd Lassa is a moron, not just in writing about cars, but in a host of other stuff he writes about.",#7,,"Maryland, USA",NA,NA,9,0,"2006 BMW 750i,2003 BMW 330 Convertible"
BMW,BMW X5 - Vermillon Red,post-316361,"Jul 14, 2008",XBMW6,"Today, I saw a new X5 in Vermillon Red at my local BMW dealer. It had an Aerodynamic kit installed as well. The car looks amazing in person...",#1,,NA,NA,NA,3,9,
BMW,M3 DCT Launch Control video,post-314504,"Jul 8, 2008",TobiBMWFan,Seems to be much better than the old gearbox in the M5/M6!,#7,,NA,NA,NA,2,0,
BMW,"BMW X1: CGIs, spy pics & info",post-371053,"Mar 16, 2009",1ntensitaet,here we go..,#344,,NA,NA,NA,4,22,
BMW,F01 / F02 BMW 7er - Spy Pics & Info Part V (The Countdown),post-305400,"Jun 5, 2008",Snig,"Hey guys!  Spotted the car testing in Austria three weeks ago.  Saw the post on autoblog about the new 7 series so I thought I'd share.,[image no longer available]",#3,,NA,NA,NA,1,2,
BMW,F01 / F02 BMW 7er - Spy Pics & Info Part V (The Countdown),post-305381,"Jun 5, 2008",smeekmans,"I have seen the new 7 series during a sneak preview event.,Mixed emotions. You have to get used to the front. While the front grille is very impressive, the curving of the front lights is very weird. The bulges in the hood are great, they make the bonnet overall very flat. The back is like the picture but a litttle bit less dynamic. The interior is fantastic using B&O like black panel displays. The best thing on the car is the double hofmeister kink, once with the windows, once with the curves around the windows. The design of the back is also fantastic. The interior has been copied from audi.",#1,,NA,NA,NA,17,61,
BMW,Rims - where could i buy a set of 19's for my e90?,post-311873,"Jul 2, 2008",resp,"where could i buy me a set of 19's from(for my e90)? i searched the last week and all i get are shops that dont ship to europe.,thanx in advance.",#1,,NA,NA,NA,1,0,
BMW,"BMW X1: CGIs, spy pics & info",post-371544,"Mar 19, 2009",pvanasbroeck,,#373,,NA,NA,NA,10,0,
BMW,"BMW X1: CGIs, spy pics & info",post-371268,"Mar 18, 2009",Squeaky,"Worst news I could hear.  I guess I'll have to wait for the X3 update.  I'm crossing my fingers that the X3 diesel will not only be made, but sold, in North America.,Thanks again for the information, Scott.  I appreciate the solid information you provide.",#362,post: 371119,NA,NA,NA,21,14,
BMW,BMW X1 or BMW V3 crossover?,post-307354,"Jun 12, 2008",Thaeschendy,"I´d say its neither one, but rather the upcoming F5 (or whatever its name will be). The pictures in the F5 thread here on GCF look too similar to be a different car.,In addition I think its still too early for a ""real"" V3 to hit the roads. There may be a few mules on thair way, but no finished car.,Yet I wish it were the next V3 so that they could release it earlier (than 2012 or so,)...,Concerning the X1: The shape is way different to the X1 spyshots (overall-shape, proportions etc.)",#2,,Germany,NA,NA,18,14,
BMW,F01 / F02 BMW 7er - Spy Pics & Info Part V (The Countdown),post-305513,"Jun 6, 2008",the1,"That cool IAS 4wheel active steering, improved Night Vision, traffic sign and pedestrian recognition, 10.2 inch screen and HUD sound pretty Windows vs DOS against the current S. I'm sure when the facelifted S will be out it will have a lot of these as standard too and other cool stuff too. But right now the 7 will be the newest addition to this busy segment, so it's normal to have the upper hand.,Keep the details coming,,Thanks for everything shared until now, the info is amazing.",#25,,NA,NA,NA,24,2,
BMW,EVO: BMW M3 - new arrival,post-298899,"May 9, 2008",Simple1,"nice, review",#2,,NA,NA,NA,3,0,
BMW,2009 Cadillac CTS-V breaks 8-minute mark on Nurburgring,post-298872,"May 9, 2008",ReaganLogan,WHOA... M5 is at 8:13 according to Wiki...,#1,,NA,NA,NA,18,9,
BMW,Old school TG: BMW 850 CSI,post-299512,"May 13, 2008",?????,"Does anyone still have this video?,I downloaded onto my iMac, and it suddenly disappeared.,Those $@#$@#s, youtube...stick to removing p03n, not good E31 videos.",#15,,NA,NA,NA,1,0,
BMW,M3 vs. 335i,post-281037,"Feb 28, 2008",JohnM,"Is it worth the extra $15,000 US?  The 335i has more Torque and the interior is exactly the same (sans some different trim color options).  If you get the sport suspension and variable steering then how much of the M3 handling do you get?,I've read wildly varying acceleration numbers for each car with the ""official"" BMW numbers differing by only 0.5 seconds (well within the overlap from the varying official sources).  How do these two engines compare regarding feel?  How do the manual transmission compare?  I've read disappointing things about the 08 M3 6-speed but nothing about the 335i 6-speed.,The 335i gets vastly better gas mileage, which may matter more when gas hits 4.50+/gallon for premium but still another plus for the cheaper car.,What am I missing?  I love my 97 M3 but I'm not convinced the 08 M3 is ""good enough"" to justify the cost differential (although oddly, I find it easily the best value with respect to it's peers, C63, RS4, IS-F).",#1,,NA,NA,NA,3,0,
BMW,F01 / F02 BMW 7er - Spy Pics & Info Part V (The Countdown),post-307862,"Jun 14, 2008",RichReg,"Hello all...,..just an FYI for those members in the U.S.:,I spoke to a knowledgeable person @ BMWNA this week and was told that the F01 will not be available,for sale here until the beginning of '09. I apologize if this info was already posted;; it would appear that,the 7 year model timeline is being followed to a 'T'.",#196,,"New Jersey, USA",NA,NA,3,0,2015 435Xi Sport
BMW,Performance Car: 335i,post-281948,"Mar 2, 2008",d3l0n,great car indeed,#2,,NA,NA,NA,4,0,
BMW,2008 BMW 3-series update,post-219799,"Aug 20, 2007",mora,"From what i heard, the QTV (QVT) will not be completely eletronically controlled: the system will remain mechanical but more helped by electronic stystems than the actual version that is also too much complicated : too many pieces, to much weight.,The new system will be more similar to the BMW's X-drive. But very different in the mechanical's managment of the trasmission.",#35,post: 219559,NA,NA,NA,24,0,
BMW,BMW Engine Coding System,post-275726,"Feb 10, 2008",Germanmechanical,"Hey, I´m sorry for my bad english.,I´m interessted wich engine codes have the Alpina Motors???",#15,,Germany,NA,Mechanical,1,0,BMW E36 325 Convertible
BMW,2008 BMW 3-series update,post-255574,"Dec 3, 2007",neil suttree,"""BMW will be launching the updated 3-series range next month with the biggest change being the addition of more powerful engines and a reduction of fuel consumption across all models. Unfortunately, the car’s styling and equipment list remains much the same as the current version.,All models now come with direct injection technology providing most of the engines with minor power upgrades. Power is up for all the petrol engines except in the 325i and 335i, and, for the diesels, output is increased for the four-cylinder versions only. Once again, X Drive AWD will only be available with the six-cylinder diesel and petrol engines comprising the 325xi, 330xi, 335xi, 330xd.",#49,,NA,NA,NA,3,1,
BMW,F01 / F02 BMW 7er - Spy Pics & Info Part V (The Countdown),post-309437,"Jun 21, 2008",lennynchris,That is definitely a sweet profile!  Certainly reminiscent of this drawing,#303,,"San Carlos, CA",NA,NA,6,2,"2003 745Li,2005 XC90"
BMW,Currency Motors’ 800HP Twin-Turbo M5 E60,post-155912,"Feb 24, 2007",carnuts3,"If I had 350K, I would buy a new M5 and then pocket 250K instead of pissing the money away like this.  If I had 3500K, I would buy a new M5 and then pocket the rest.  If I had 35000K, I would buy a new M5 and then .......",#12,post: 155509,NA,NA,NA,12,0,
BMW,Currency Motors’ 800HP Twin-Turbo M5 E60,post-263513,"Dec 27, 2007",NEO740,"enough said i suppose lol.,@monarocountry the reason it's more expensive is because its a full overhaul of an M5 mate. A monaro is a vauxhall and you cannot compare the finish of the interior of both cars never mind the engines",#34,,NA,NA,NA,1,0,
BMW,Currency Motors’ 800HP Twin-Turbo M5 E60,post-221201,"Aug 23, 2007",M5_4Ever,"How do does Currency Motor Cars justify the cost of this car?. Twin Turbo's, 20' wheels and a revamped interior don't add up to over 300k.",#32,,"St. Louis, Missouri",NA,NA,4,1,"2001 BMW M5,2001 BMW M3"
BMW,Currency Motors’ 800HP Twin-Turbo M5 E60,post-170103,"Mar 28, 2007",Brent Harvey,"Hello everyone,,I am the Public Relations director for Currency Motor Cars.  After I found some nasty rumors on the net about CMC (or rather, another person and/or company with a similar name), I thought it would be a pain in the neck to sniff out and squash all this tittle-tattle. On the contrary, I find all your posts refreshing and inspired.  Please, keep them coming.  We encourage discussion and debate.  The CMC turbocharged M5 is creating quite a stir all around the globe...and for good reason!,However, let me make this perfectly clear.  Currency Motor Cars is NOT ""Currency Motors""...we know no one by the name of ""Osh"", we don't know anything about ""RMS Sport"" nor has the company ever taken money without complete satisfaction of the customer.  If you can point me to where you read this erroneous info, I would greatly appreciate it.,Please visit the Currency Motor Cars site and read about the car, it's founders and services. (www.currencymotorcars.com),Thank you for your great comments and discussions.  Feel free to contact me directly for futher claification on this matter.  All the best...cheers!,Brent Harvey,Currency Motor Cars,Public Relations & Business Development,brent@currencymotorcars.com",#31,post: 165998,NA,NA,NA,1,0,
BMW,QUESTION:  iPhone and BMW Bluetooth,post-253308,"Nov 24, 2007",Carnutt,"Anyone know how the iPhone with its Bluetooth functions with the BMW system?,Does the phonebook download to the car?  In general, is its performance any good?",#1,,SW USA,NA,NA,35,29,
BMW,F01 / F02 BMW 7er - Spy Pics & Info Part V (The Countdown),post-311384,"Jun 29, 2008",mbc,has anyone seen the pic in this link? Really looks like the front headlights will mimic the CS (which is a good thing),#414,,NA,NA,NA,10,8,
BMW,F01 / F02 BMW 7er - Spy Pics & Info Part V (The Countdown),post-311352,"Jun 29, 2008",oldtimer_01,"Having just seen the official photos, one thing comes to mind, giant 5 series.,I really am not sure what to think when I see the lower bumper. The transition is quite interesting from the creases in the front into the side and then back down. The size of the car is hidden well in the press pictures, in fact it almost appears small.,Funny thing, the rear in some photos looks almost like an suv, the lights are bit big. I feel the rear might still stir up controversy. I am curious about the 2 different exhaust styles, must be the sporty swb vs the normal lwb. the hood crease does run into the corners of the grill.,the front looks aggressive with the grill although being large is not too large.,I wouldn't say the car went back to the old E38 style at all, in fact it feels like an evolution of the E60 then blown up into a larger 7er format. I still can't get used to the new rear, the older facelifted 7er has a good rear design.,I agree the rear lights are like the E32, but their shape mimics the front lights as mentioned on here before. In some angles the lights look too large in others, mainly dead on rear, they look fine, sporty and sleak.,The car will look nice in black and white. Overall I like it, not a massive leap like E38 to E65 but still distinct enough to know its a new 7er, but at times from far away you could mistaken it for a current 5er.,Ha I am tempted to modify the press photos with a different color, larger wheels and in black.,edit, the more I look at it, the more it grows on me.",#405,,NA,NA,NA,13,6,
BMW,Real-life Observation that defies explanation...,post-260432,"Dec 16, 2007",cbryce,KI guess Porsche Cayenne GTS will give it some competition. What do you ll think?,#58,,NA,NA,NA,20,0,
BMW,BMW Equips 2008 1-Series Models With Special Engraved Start/Stop Button,post-249097,"Nov 10, 2007",kere,"The limited edition hatch has the limited edition text, the coupe will have the year one of the one text.",#29,,Finland,NA,NA,36,3,
BMW,F01 / F02 BMW 7er - Spy Pics & Info Part V (The Countdown),post-311585,"Jun 30, 2008",swingfan,"I don´t think, BMW would show a fake teaser at such an important Golf event - there´s no way they could do anything like that. That´s the real deal!,Best regards, Swingfan",#459,post: 311582,NA,NA,NA,30,10,
BMW,BMW Equips 2008 1-Series Models With Special Engraved Start/Stop Button,post-248994,"Nov 10, 2007",wmb,"Its written on the start button. What is the big deal?,If this was being advertised on the back of the car, I could maybe understand your argument, but a small inscription on the start button is minor and most 1st year owners probably will think all 1ers come with it...",#23,post: 248718,"Orange County, CA",NA,NA,14,11,"06' BMW ///M Roadster,04' BMW X3 3.0i"
BMW,123d Exhaust,post-245480,"Oct 28, 2007",abdulkerim88,"hello, this is my first post in this forum.,today I saw a 123d on a truck.,And I noticed that it had no rear silencer on the exhaust system.,That is really weard.,Because I never seen a car whitout a rear silencer,There was also an 120d but he had a silencer.,My quesion is Why would they dont make a rear silencer on the 123d? (performance, sound,...),I will add pictures soon.",#1,,"Belgium, GENK",NA,Student,13,11,
BMW,BMW to offer twin-turbo diesel in U.S.,post-237812,"Oct 4, 2007",georgec7080,"what sucks about this is that the 3.0 twin turbo diesel only comes in automatic,I think bringing the 330d would of been a better choice,whats a bimmer without manual???",#4,,NA,NA,NA,22,1,
BMW,95 winter wheels,post-232909,"Sep 21, 2007",bassmoxy,"I've got a set of winter wheels off of my 1995,  525 . I was wondering which of the later year models they will or not fit ?",#1,,NA,NA,NA,4,0,
BMW,"Brembo Brakes for your 7, Sad to see the 7 go",post-224295,"Aug 30, 2007",bullpen,"Sad to see my 7 go back to the dealer, 3 year lease is up.  i am selling a complete Brembo Brake upgrade including Crossed Drilled Rotors and Oversized Calipers for front and back. Retail for this set was well over $8,000. i am willing to let go for $4,500! This Brake system will also fit a 6 series.,i also have a set of 22"" GFG 3 piece chrome Trento 5 wheels with 3.5"" up front and 5"" in the rear. Pirelli tires have very low miles on them.  i am willing to let go for $3,500!,If you take both i will cut you a huge break!,If anyone is interested please email me at",#1,,NA,NA,NA,6,13,
BMW,Countdown to BMW M3,post-221159,"Aug 23, 2007",PowerJewel,"How did you embed the youtube video in this post?,Is there a code for that?,Thnx!",#28,,NA,NA,NA,6,0,
BMW,A BMW for Home Entertainment?,post-214005,"Jul 31, 2007",Alok,I say how about go out do the real deal and have some proper fun.,#1,,"Bruchsal, Deutschland",NA,NA,111,151,
BMW,Photos: M3 V8 premiere in Sweden,post-214574,"Aug 1, 2007",apw2607,"Thanks for the pics. I think this car has the ""standard trim"" ... the first time I've seen it. Do you know if its plastic, or does it have a metal finish?",#4,,NA,NA,NA,1,0,
BMW,1-series QP in Konfigurator für Großkunden,post-214563,"Aug 1, 2007",hansbmw,"You can now configur your QP on the,=> Directabnemer => Großkunden => konfigurator,unfortunatly no pictures yet.,Rgs Hans,ps ordered a 120d 3d Monaco blue/beige leather to be delivered 24-9-2008",#1,,NA,NA,NA,6,3,
BMW,F01/F02 BMW 7er - Spy Pics & Info,post-168708,"Mar 25, 2007",MKM,Will we see a concept in september?,#127,,NA,NA,NA,8,0,
BMW,1 series coupe video,post-211540,"Jul 23, 2007",4westdan,"ukcarnews.com have an edited version of the 1 series press video,UK Car News - news, car reviews, features and video - News",#1,,NA,NA,NA,18,18,
BMW,Help me please!,post-208298,"Jul 14, 2007",Funky Gibbon,"What should I buy?,I love both the Alpina D3 and the 320d M sport. Can any of you guys recomend either?",#1,,Scotland,NA,Royal Air Force,7,0,
BMW,BMW drives Germany,post-207038,"Jul 10, 2007",Anthony,"I have probably missed the point but it is a pity that those last 6 days before the cut off date for changing the order was not the lead time from order to delivery instead of the near six months to acquisition,.  What might offset the long wait though is if a number of those options were standard fit instead of adding to the already high cost of the standard car,.  I think that unfortunately that this is probably true of all the German Car Manufacturers.,What are the waiting times from ordering to delivery of the others, Just curious?",#6,,NA,NA,NA,19,10,
BMW,Reviewing the M3 Reviews.,post-205877,"Jul 7, 2007",romo,"That is not all true.,Top Gear ( normaly not a fan off German enginering,) has a verry possitive review;",#8,post: 205681,NA,NA,NA,6,4,
BMW,Reviewing the M3 Reviews.,post-207047,"Jul 10, 2007",xxxneoxxx,"Is Anyone else feeling a bit peeved off that critics didnt rave, about the new M3??? I am an Alfa Romeo fan, anything they produce will always be amazing to me, but i also have an obsession for good engineering, speed and more speed. I dont have a problem with Merc or Audi, but i feel their cars lack the emotion that BMW has so cunningly, led us to believe, that all their cars poses. Have a look at BMW road test for the past 5 years and you will realize that, not even the typical bmw traits like ""communicative steering"" exist anymore. Whats happening to the world?? The M3 has been such an iconic car for decades and decades, how can its prestige and reputation be so easily given away to amateurs like Audi and Merc? I mean these guys pride themselves in doing comfort and safety best. If they dont even specialize in handling, gr8 chassis etc, how can they produce an arguably a better car than the masters?????,(sighs) I havent driven the M3 yet, but Damn it why is it that i want everyone to love it?,Anyone else feel the same way?",#23,,NA,NA,NA,1,0,
BMW,Build your own 1er coupe,post-198263,"Jun 17, 2007",dinger,"135d if they ever do one.,Red,M sport,18'alloys,darkened glass,Blue tooth,Heated seats,Xenons,Ipod adaptor,Service pack,And probablly a few other odds and sods.",#5,,NA,NA,NA,2,0,
BMW,Build your own 1er coupe,post-198218,"Jun 16, 2007",larry lawless,"My 1er coupe:,135i M sport, 6 spd manual:,Factory options:,-Alpine white,-Coco. leather,-Aluminum trim,-Sunroof -,-I pod adapter,-idrive w/navi,-Xenons,-Cold weather pkg.",#4,,New Jersey,NA,NA,2,0,
BMW,CarMag 2008 M3 Review,post-205452,"Jul 6, 2007",amazing,"__________,I must admit a 4 star rating is below par for an M3. The E46 M3 got a 5 star rating at every review I have ever read. So a 4 star review on the first ever review is not what we exspected.,SO it is dissapointing I must admit to read this. I still think it will be an amazing car, however compared to the exciting & hugely entertaining E46 M3 I think I will now buy an E46 for at least £20,000 less! Based on buying a late 2005 M3 e46 for £30,000 against the £50,000 plus about £5K for extras! Seems like I am buying quite a bargain!,I'm open minded though, & hopefull it's not gone to soft.,Must admit though the E46 M3 was a very, very hard act to follow. It's still head above the rest based on FUN factor alone in my opinion, & that includes 911's, I have had 2 including a Turbo, also driven the New M5, yes very fast, but I hate the auto gearbox, the 335i was more fun & entertaining in my opinion & have to say the E46 M3 is more FUN, practicle, & great to look at, than all the others.",#26,,NA,NA,NA,1,0,
BMW,M-package for E70 in July,post-192244,"May 31, 2007",delaatm,"Hi,,I am new here at the Forum.,I have just received is a press release X5 M-sportpackage.,There is an error while opening the photo's.,When I have more foto's I will put it on.",#118,,NA,NA,NA,2,3,
BMW,M-package for E70 in July,post-190271,"May 26, 2007",Zouz,"The 128 are not available on the 6 Series, only for the 5 and 7 Series, X3 and X5.,Btw:,223M (19""):,[image no longer available],227M (20""):,[image no longer available]",#101,post: 190112,NA,NA,NA,6,0,
BMW,M-package for E70 in July,post-205108,"Jul 5, 2007",justino,"Hi,,My first post on here. I have a M-sport Pack 3.0d on order in Space Grey. In fact the car is due in about 4 weeks. I have been very worried as i specced my car before i saw the press release photos and didn't like the look.,I have never used photoshop but i decided to try a free trial and edit the m-sport photos to see what they might look like.,I know the colours vary between grey and blue but I hope you'll agree that in Grey or any darker colour the M-Sport Package looks much better than the press photos even though my efforts are poor!",#150,,NA,NA,NA,3,20,
BMW,New I4 with 204hp Diesel Engine,post-192482,"Jun 1, 2007",kiwi,I was told today I can order the 123 diesel now. They start production in September and delivery November. They only come in 6 speed stick shift no auto.,#34,,Auckland New Zealand,NA,NA,1,0,
BMW,3.0d or 4.8 2007 model ?  help!,post-183660,"May 6, 2007",cristianit,Go 4 the diesel u will love it,#3,,NA,NA,NA,1,0,
BMW,3.0d or 4.8 2007 model ?  help!,post-132178,"Dec 29, 2006",barrym,"I'm interested to hear from anybody that may have taken both the new 2007 models for a drive (diesel and 4.8) ...impressions on performance etc?  one review I read said that whilst the 4.8 was more powerful it tended to lurch a little through the gears (downshift) ..but the diesel was better sorted in this sense ..,also what's the every day drive like between the two?,Any advice appreciated as I want to start planning for delivery due in Australia in April 2007 (we get all three variants here 3.0d, 3.0i and 4.8 for 2007 models),Thanks.",#1,,NA,NA,NA,2,0,
BMW,Some BMW pics by Wynn Ruji,post-159894,"Mar 5, 2007",FirefoX,"These pics are really great,Ruji is an amazing photographer",#4,,Sweden,NA,NA,78,27,
BMW,Alpina - Genf 2007,post-169111,"Mar 26, 2007",_HaNi_,"Very nice, I love.",#4,,NA,NA,NA,13,0,
BMW,Offical: Production E92 M3,post-172323,"Apr 3, 2007",MickeyTER,is this 100% offcial as the production model? why no rear shots?,#40,,NA,NA,NA,19,2,
BMW,BMW model portfolio in Europe: diesel models prevail,post-119549,"Nov 27, 2006",JaBriX,Diesel power all the way !!,#6,,Sydney,NA,NA,52,1,
BMW,Offical: Production E92 M3,post-172374,"Apr 3, 2007",markwm,"Does nothing at all for me, looks wise.,RS4 not only looks better from the outside but the interior shown in these pics doesn't look half as a good as the RS4 interior.",#59,,NA,NA,NA,21,2,
BMW,The Terror! (Possible offensive language for some),post-104534,"Oct 21, 2006",enzo354,"That has to suck,  wow.",#13,,NE,NA,NA,98,22,
BMW,new Pshops,post-153371,"Feb 20, 2007",Phoenix 21st,not seen these on this forum yet?,#1,,NA,NA,NA,2,1,
BMW,3 versions of the 4.8i?,post-149531,"Feb 9, 2007",EMIRATES_GUY,"hi everybody,i have ordered the new x5,my dealer sayed there will be 3 types:,5 seats 285 000 dirhams,7 seats 315 000 dirhams,7 seats 340 000 dirhams,it will be available in april,(this is from abu dhabi BMW dealer),i have ordered space gray colour,orders only for 4.8,no info about the 3.0 ?!!,inshallah my car will be here in april",#17,,NA,NA,NA,3,0,
BMW,3 versions of the 4.8i?,post-124181,"Dec 7, 2006",Khalid,"hey guyz wassup?,i need help guyzzz, I've been to the dealer in dubai and the salesguy told me that they will be getting,three different 4.8i versions (on april, i know woah :S) lol . The luxury, sport and executive :S any ideaS?,those are the prices :,Luxury : 285,000 dhs (around $77,550),Sport: 295,000 dhs   (around $80,300),Executive: 320,000 dhs   (around $87,000),the prices however may vary,I just wanna know, is the sport version the one that comes with the aero kits? cus i really wanna order the one with the aerokits lol",#1,,NA,NA,NA,26,1,
BMW,The Terror! (Possible offensive language for some),post-125419,"Dec 11, 2006",Cowmon2,i think its enough to warrant a severe beating...similar to what they did to the car,#22,,NA,NA,NA,2,0,
BMW,Offical: Production E92 M3,post-172492,"Apr 4, 2007",joelk,"didn't see this posted so sorry if repeat...,"",, according to BMW, an increase of 70 or so pounds over the outgoing model...""",#98,,NA,NA,NA,2,0,
BMW,Offical: Production E92 M3,post-172436,"Apr 3, 2007",arthurz,"Every exterior line is insisted upon, except for the fussy undercarriage, and even there it makes some good arguments.  that is what I see when I view this car, and compare it to let's say a g37.  There the lines are suggested, there is not the tension of a Dino ferrari, saying that I was made this way because I break the other ways.  A series 1 M3 has it.  And it's good to see it back again.",#87,,NA,NA,NA,10,0,
BMW,X5 Wheels,post-138121,"Jan 12, 2007",Shazbat,"Hi everyone,,I've ordered a 3.0D X5 but I can't decide what wheels to go for. The Dynamic pack includes a 19"" wheel, star spoke style 213 - does anyone have a photo of this style? It's either that or splash the extra cash for the 20"" wheel.,Thanks",#1,,NA,NA,NA,2,0,
BMW,E70 accessory catalog and aero kit pics,post-123720,"Dec 6, 2006",bmwl,"Eni , when M-package will be available in USA?",#7,,NA,NA,NA,12,0,
BMW,Cool blog entry about 330i from inside line,post-133327,"Jan 2, 2007",speed lover,"i have a 330i which i bought of the lot on my birthday in may 2005. Would you happen to know if they were defects when this car came out? my engine is acting up, the other day i was making a left turn and the engine revved up to 3 rpm all by its self and the shuddered a little and went back down to 2 and all that time i was barely pressing the gas i was jus lightly holding it down",#3,,NA,NA,NA,2,0,
BMW,Racing Dynamics RS55 Coupe' 655 hp.,post-130484,"Dec 25, 2006",Iceman,"[image no longer available],Hans.",#1,,NA,NA,NA,352,128,
BMW,a ride in the 335i,post-124058,"Dec 7, 2006",lendz12,"Yesterday my friend and i were lucky enough to be able see and ride in the 1st(as far as i know) 335i coupes in the country. Since the 335i is ""indent order only"" basis here it's very hard to get one, my friend and checked out this import car dealer and were told that if we were willing to wait 2 335s were arriving straight from the pier. It turned out that we had to wait for a couple of hrs but it was all worth it. Apparently the units were sourced from the States, one was titanium silver and the other jet black. The one we rode in(silver) had the gray leather interior, poplar wood trim, active steering, power seats, type 189 wheels and HIDs as the main options. We agreed that the design was a big improvement over the sedan and the the interior quality seems better than the 5 series sold locally. When we took it out to have the a test drive with the owner of the dealership driving the acceleration was immense and the power delivery very linear. Virtually no turbo lag and the engine was already pulling hard at 1500rpm. The 6 speed sportauto with paddles was very responsive but the operation was a bit tricky since it didnt have the SMGs configuration for the paddles but boy we were the quickest out there. One thing that we also noticed was the ride was very good for 18s and runflats(our roads are worst than the UK!). The owner/seller said that he preferred the active steering over the standard setup, since he is said to have owned an E46 M3 and E39 M5 before i think he knows what he is saying. The biggest downside to it? We didnt have the money to take it home hehe bec the asking price was a hefty Php4.8M(US97000!)",#1,,NA,NA,NA,3,5,
BMW,Reithofer confirms 1er model range for U.S.,post-117988,"Nov 23, 2006",kashirat,"I'm curious, how their definition of the Station wagon is different from the hatchback?",#5,,NA,NA,NA,4,0,
BMW,BMW 5-Series Facelift Latest Pics,post-129704,"Dec 22, 2006",Socal M5,Do you know if there are any changes for the M5?  Thanks!,#76,post: 128912,"Southern California, USA",NA,NA,3,0,
BMW,New E90 Sport Package pictures,post-23881,"Dec 15, 2005",Netwerkz Wiz,That package does not look bad. I think it's an improvement although maybe not the ideal look for an M-Package.,#26,,"Bay Area, CA",NA,Network Engineer,27,0,
BMW,Chris Bangle Now,post-66906,"May 23, 2006",E12,"Isnt Adrian van Hooydoonk a designer in Mr Bangles staff?,I hardly enjoyed the 7 or the z4, but the z4coupe is beatiful! And isnt that a colaboration-draw with Adrian van Hoydoonk?,I always kinda liked the E46 shape. and remember Chris Bangle talking himself warm about the energy in its design.Like the 7 I remember the day first time my eyes fell on the 3r lines. the light of the day, the interruption(!) in the city enviroment.My favorite.,Now the z4  Coupë carries this philosophy of design, wich i prefer.Nothing wrong with the other babys, but their further away from perfect.,But I'll admit the range of BMW's are uniqe, and the strongest among Deutches automobilen",#20,,Norway,NA,Musican,16,0,
BMW,645 upgrades ?,post-71670,"Jun 11, 2006",AMG_POWER,"+1 my friend is getting one as well tomorw, he was asking me same question.... so far i think the best mods are:,1. CAI,2. CHIP,3. Exhaust,anyone can suggest anything else not FI.",#2,,NA,NA,NA,18,0,
BMW,what's your favourite Bangle-line,post-73120,"Jun 18, 2006",sayegh_914,"1)7 series,2)6 series,3)5 series,4)3 series",#18,,NA,NA,NA,12,5,
BMW,Spy Photos Of New Mini And Rolls Royce Convertable!!!,post-51721,"Mar 25, 2006",Loose_Moose,"Hey guys, saw these 2weeks ago- the new mini and Rolls Royce convertable, [image no longer available] [image no longer available] [image no longer available] there was also a 3 series coupe with twin exhausts, which I suspect was an M3, but the driver freaked out when I wanted 2 photograph it,(all cars were in disguise though [image no longer available] ),(posted this thread on germancarforums first,but that place is so dead i havnt got a reply in 2 weeks,)",#1,,"Cape Town, South Africa",NA,Student,25,15,
BMW,M1 A'la Auto Bild,post-17969,"Nov 25, 2005",wmas,"Wow, who would have thought that BMW was still capable of producing an attractive car!  Hope This is the beginning of a new direction for BMW>",#9,,NA,NA,NA,1,0,
